Kennziffer;Raumeinheit;Aggregat;Beschäftigte am WO mit Berufsabschluss;Beschäftigte am WO mit Berufsabschluss;Beschäftigte am WO mit Berufsabschluss;Beschäftigte am WO mit Berufsabschluss
"09262";"Passau, Stadt";"Kreise";"60,97";"59,61";"56,92";"55,01"
"09263";"Straubing";"Kreise";"65,08";"64,24";"61,91";"58,81"
"09271";"Deggendorf";"Kreise";"71,74";"72,15";"71,65";"70,58"
"09272";"Freyung-Grafenau";"Kreise";"74,53";"76,21";"77,19";"77,45"
"09273";"Kelheim";"Kreise";"70,56";"70,73";"69,73";"68,41"
"09274";"Landshut";"Kreise";"70,32";"70,55";"70,34";"69,31"
"09275";"Passau";"Kreise";"72,31";"73,94";"74,29";"73,52"
"09276";"Regen";"Kreise";"75,51";"77,15";"77,23";"76,61"
"09277";"Rottal-Inn";"Kreise";"71,54";"73,32";"73,19";"71,73"
"09278";"Straubing-Bogen";"Kreise";"73,58";"73,33";"73,14";"71,66"
"09279";"Dingolfing-Landau";"Kreise";"69,14";"68,74";"69,30";"67,93"
"09361";"Amberg";"Kreise";"65,40";"67,23";"65,85";"65,13"
"09362";"Regensburg, Stadt";"Kreise";"49,55";"48,69";"45,98";"44,67"
"09363";"Weiden i.d.OPf.";"Kreise";"63,98";"65,60";"64,74";"63,83"
"09371";"Amberg-Sulzbach";"Kreise";"72,90";"74,20";"74,28";"73,56"
"09372";"Cham";"Kreise";"74,39";"75,42";"75,72";"74,93"
"09373";"Neumarkt i.d.OPf.";"Kreise";"71,30";"72,41";"71,68";"70,67"
"09374";"Neustadt a.d.Waldnaab";"Kreise";"70,30";"72,78";"73,80";"73,31"
"09375";"Regensburg";"Kreise";"68,71";"68,96";"67,66";"66,39"
"09376";"Schwandorf";"Kreise";"71,79";"73,17";"72,91";"71,99"
"09377";"Tirschenreuth";"Kreise";"75,13";"77,42";"77,74";"76,85"
"09461";"Bamberg, Stadt";"Kreise";"56,39";"54,46";"50,94";"49,11"
"09462";"Bayreuth, Stadt";"Kreise";"59,32";"59,17";"55,99";"54,21"
